Address,Balance,lastTxHeightOnCosmosHub
juno1qz5gdtcga947r8zmaaffr4d97k0whmmf504txu,7.74,12351092
juno1qz7wk7jye530r0c55qyn7lrncrfcq4jj7tcu4y,1.48,12549466
juno1qr9m86nv3lsf2xh3p2yry38vaz7su89urjsafv,5.0,6512608
juno1qzeakuk7wnxc0pfyq5q5m99jpqhy6yjcdnyec6,5.35,7039247
juno1qzlh3fx534j02hcs8qemxtm9q7ksqv69upldz6,5.0,5864594
juno1qrqhgsy80ah25984kyqwjeyv32tkzlfhp5a9zw,3.0,5731319
juno1qzec4rnwaz56ujdjk9q2nwjmas33zpc3q8zez9,100.0,7481086
juno1qzk8rhu94c82qmtjacqzl6wwhwx733jf7dlgme,12.79,9577750
juno1qzux23j9z6hf8r8mjgys6myu3kd2z7puxfvx9p,8.54,6056310
juno1qr0a4vztcrqr6qlwc9p25vh8ux048nwk7jx6kv,12.39,12411507
juno1qrdpap96mrfqhy2at5nt6l2gpuaqpxyjuxe90m,6.55,7566972
juno1qzezppzcz7tdhxh7mma6gykw320ecmgk42eh0v,20.23,5609991
juno1qzlte8n4x9299gzp4fr4cty863frmzd3qwa7qe,33.21,8010237
juno1qrfcunk5tgtxerpapsa3xmj2tzp85u52kq2v60,2108.29,12645966
juno1qrg2g3huv0a85jhyn6z03wyzu6up05pk5d0a8x,32.55,8949674
juno1qrg74ma7g7ht27fcvxexewu5cu2hg6f37sagma,1.6,6115548
juno1qrzqaactu3u3sqk0kgzl6u42z5306p5dt8kp58,59.79,8552985
juno1qr9vg76fzanpsj94vsue5ld34u4patgwman539,10.11,7349930
juno1qrw6r7y20lajwjj5zm6xervz6zjsylxy55czcd,11549.74,12146968
juno1qrwdxafxfwnehk34mcna6kv6lenkvqpqumx27m,46.02,12077070
juno1qrvlltn0z0zwkrg99yenh5sj0lwdrpgwcwhapj,22.33,6767328
juno1qruhlsp2zj4wujkyx53pt9fjeq5knr86ly4980,13.16,Inactive
juno1qr798e6eyjj0g492qx4jsw6csx2u56gctw2cpv,5.51,5857071
juno1qrlv4y2drp6uel244rdff8vr2xm7lsdzq4lh03,18.75,5753210
juno1qr5mfj47z966gqklkdz8jmxj3t7teya6fsgv9k,14.93,5445348
juno1qr7lshrn64auslucyp040wlkmw8je2hh5t3nml,1.06,Inactive
juno1qygnq2zaf9mymfx6azphrd6uhqt4wpaxnr6yad,23.18,Inactive
juno1qyg957d869yw80n55et797nkxntry0hp3n4p2s,4.11,Inactive
juno1qyxue984vrd8rxsduphy9sm8skquw9cx2qj3q3,6.64,9213895
juno1qrsshndy3t3dtpj90v887kllk9n9jfxhw9ng0j,250.0,11448297
juno1qrn6zj0fdxwgmnj67unmzfckcad9xsfw623zsl,79.79,12592877
juno1qr3qa64mqj5zufe7hcgpjxggkavk7w8pthhlmh,1000.0,11138581
juno1qr4g7hjlfh5pkkufy759hgvya6qmygjy0rtzfg,10.16,8395909
juno1qrkgas32qaudtwwajndqacft8mthxph432pzlr,11.94,7972205
juno1qrsm4w3mnqkm4jl2h9ma0jwe47rtrt4p62llrm,24.64,6039003
juno1qr3afcepawyfrsgamsndtm58w64z63d6ev65uw,24.28,6027414
juno1qraav9cg65yjl7yr2rgmsh95ug3chg9cqh36fz,10.17,10783394
juno1qrhl5ycepz0j7jxk8re2rgf4he5n470zejxpld,17.97,9928486
juno1qrejppd8q5fguj02gdlcdk29ayrzfs69j7e8np,0.1,6171862
juno1qr3d3g80j4uqmzvysauaajpxueczhhesxv2mlf,19.69,11664707
juno1qy8dymee9arrepkdpu38s4tu2sgg807gl5f7wc,1.09,5802061
juno1qyp6e90cvjv8wz5fgjzekhaf640ka4mkpky2wq,56.63,8482651
juno1qr48pcxsldzdl3kqxm0pawk476h2a9t2f2jwul,1.84,9091463
juno1qrehvrqyz3f6xaqfgtw8radk8lu9zwlx9524e6,4.94,9370223
juno1qrlp9r8xg94grqtd9z63enjf40qsgass34xvu5,10.03,5541443
juno1qy96h7dpgu5h6h4ssuutqd778z0lejzeh6fcy9,7.22,8307641
juno1qreftu7wrzcaqfgjjva4j7j3sk0fsserlzcdzy,11998.8,10290204
juno1qrjz89us202ncdzkmr6ql6hwg0u6xvtzrzekzh,79.33,12566321
juno1qrexux4wxjq384jn43yarlw4eyw69pxv33tqy0,780.0,12706080
juno1qygg324tx8gtqedruxvy65j7sz87p7kdymmqg4,100.55,8095117
juno1qrelp03mgeqp83w2krt346jvlk0la4q52p06pw,9.25,11946135
juno1qr5agmftgcdwsd4yxme3m90shvrdedxhvukls9,5.1,7579257
juno1qyy895yfl2scw6262du2s2ad26w67s3u7kcj47,2.23,12412778
juno1qrk7fd64uqalm8ay8e9wcjvd0v7k8amffvmzpq,5.9,8104046
juno1qrmteqydhphz6zfujj6qhpcdnxnwqk8wml2n2m,89.2,12251757
juno1qrssxured2qev0c7dm5h4nkfu9jg32ux3djt04,30.0,6106372
juno1qr6wae23ptm8j8q0gldfytpr8cpfh3msvjdkum,1.56,10882108
juno1qyp6437fvpnjcp03x2x4f9lsgrpp98nvq679xh,9.88,6998226
juno1qrln6rdgamj3cjgfapvrvy5a5k7ke7lzdy35qm,6.81,10377137
juno1qypdw4l7p3scmsacf6phs29f2uuc6hmruxpxj9,2.54,9678539
juno1qr49swmsjl4vfyzur6vtdqwcg27jw5m3as547k,76.43,8036545
juno1qy9x5zrtxkf2y25fxmkxsn9tz5hzy3xva4789f,102.05,6379939
juno1qyfjuwrn4hx5z6v6ry3snvrd4pwt8z5rygyulr,1.44,Inactive
juno1qydd5aj64uz9gpatmll9v0yzkkz54rfkephq5k,99.75,Inactive
juno1q99ze6n20cddj6rqelal0wsd9pk94nd25vef7h,5.26,8585275
juno1qy026dylqj2xgnx5pwjwwr4a64027me68thl9m,4.5,Inactive
juno1qyjkyae46vuuc9lu5sc9753kukn3wuapekekwr,13.65,Inactive
juno1qyckaw4m8s6ku9untucerff3gqa8g6yrtwdu9g,32.85,11616669
juno1qy3g22r02rhncz5vpn5f6fkfxkqk4whvaqdfg4,0.03,Inactive
juno1q9p4j6dej9atmn35p078g778gxuuwn7wg2m6ng,12.85,10693156
juno1qy3dn4p4te3cpwk0hfq06vmwy0nqtms48lth2k,306.17,7709519
juno1qytyj0rth6t0q36jm2xcy6ecdguzvxsg25xrkn,5.41,6016636
juno1qydhsreqdvn86cfdtea0ry433zt7y27ejffp3w,8.99,7730886
juno1qydjlgg7hcrdn0rff6mxdht49jy8tuppxt729a,21.15,9005242
juno1qyc6gm37srczp543fucjgly8k4lracakdnql23,6.95,8473866
juno1qywmhjfsvl47hnha302gvm5jsg48wx70hjealn,2296.58,12181191
juno1qy3z264t8sl09tdz2wprzl725sy7frnghhwe5n,21.11,10703344
